DATE,DEXUSEU
1999-01-01,1.1204196721311475
1999-04-01,1.0567343750000000
1999-07-01,1.0492781250000000
1999-10-01,1.0368317460317460
2000-01-01,0.98586031746031746032
2000-04-01,0.93343281250000000000
2000-07-01,0.90421269841269841270
2000-10-01,0.86818870967741935484
2001-01-01,0.92195806451612903226
2001-04-01,0.87362343750000000000
2001-07-01,0.89078387096774193548
2001-10-01,0.89513870967741935484
2002-01-01,0.87703278688524590164
2002-04-01,0.91855781250000000000
2002-07-01,0.98417968750000000000
2002-10-01,1.00027903225806451613
2003-01-01,1.0733196721311475
2003-04-01,1.1356234375000000
2003-07-01,1.1264015625000000
2003-10-01,1.1920048387096774
2004-01-01,1.2498919354838710
2004-04-01,1.2046562500000000
2004-07-01,1.2226593750000000
2004-10-01,1.2991126984126984
2005-01-01,1.3112193548387097
2005-04-01,1.2591484375000000
2005-07-01,1.2195500000000000
2005-10-01,1.1890213114754098
2006-01-01,1.2032564516129032
2006-04-01,1.2576281250000000
2006-07-01,1.2741206349206349
2006-10-01,1.2898354838709677
2007-01-01,1.3109467741935484
2007-04-01,1.3484312500000000
2007-07-01,1.3747625000000000
2007-10-01,1.4482328125000000
2008-01-01,1.5006516129032258
2008-04-01,1.5625203125000000
2008-07-01,1.5030125000000000
2008-10-01,1.3201709677419355
2009-01-01,1.3035016393442623
2009-04-01,1.3618921875000000
2009-07-01,1.4304261538461538
2009-10-01,1.4761532258064516
2010-01-01,1.3820967213114754
2010-04-01,1.2739796875000000
2010-07-01,1.2938218750000000
2010-10-01,1.3586098360655738
2011-01-01,1.3698887096774194
2011-04-01,1.4399109375000000
2011-07-01,1.4122562500000000
2011-10-01,1.3476180327868852
2012-01-01,1.3121435483870968
2012-04-01,1.2835531250000000
2012-07-01,1.2507619047619048
2012-10-01,1.2976790322580645
2013-01-01,1.3196491803278689
2013-04-01,1.3064468750000000
2013-07-01,1.3251781250000000
2013-10-01,1.3619419354838710
2014-01-01,1.3705049180327869
2014-04-01,1.3716015625000000
2014-07-01,1.3250390625000000
2014-10-01,1.2497032786885246
2015-01-01,1.1245590163934426
2015-04-01,1.1068671875000000
2015-07-01,1.1118765625000000
2015-10-01,1.0953919354838710
2016-01-01,1.1034887096774194
2016-04-01,1.1295484375000000
2016-07-01,1.1162859375000000
2016-10-01,1.0779688524590164
2017-01-01,1.0660852459016393
2017-04-01,1.1007796875000000
2017-07-01,1.1755031746031746
2017-10-01,1.1777819672131148
2018-01-01,1.2289161290322581
2018-04-01,1.1922187500000000
2018-07-01,1.1628904761904762
2018-10-01,1.1414200000000000
2019-01-01,1.1353677966101695
2019-04-01,1.1236921875000000
2019-07-01,1.1120421875000000
2019-10-01,1.1074645161290323
